ลำดับ,รหัส อปท.,ชื่ออปท.,ประเภท,อำเภอ,จังหวัด,ภูมิภาค,เว็บไซต์ของเทศบาล
69,04670102,เทศบาลเมืองเพชรบูรณ์,เทศบาลเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,กลาง,https://www.nakornban.net/home/home.php
70,03630601,เทศบาลนครแม่สอด,เทศบาลนคร,แม่สอด,ตาก,ตะวันตก,https://www.nakhonmaesotcity.go.th/webs/main.php
71,03800102,เทศบาลนครนครศรีธรรมราช,เทศบาลนคร,เมืองนครศรีธรรมราช,นครศรีธรรมราช,ใต้,https://www.nakhoncity.org/
72,04141201,เทศบาลเมืองเสนา,เทศบาลเมือง,เสนา,พระนครศรีอยุธยา,กลาง,https://www.muangsena.go.th/event.php
73,04130102,เทศบาลเมืองปทุมธานี,เทศบาลเมือง,เมืองปทุมธานี,ปทุมธานี,กลาง,https://www.muangpathum.org/
74,04301402,เทศบาลเมืองเมืองปัก,เทศบาลเมือง,ปักธงชัย,นครราชสีมา,ตะวันออกเฉียงเหนือ,https://www.muangpak1.com/
75,04710102,เทศบาลเมืองกาญจนบุรี,เทศบาลเมือง,เมืองกาญจนบุรี,กาญจนบุรี,ตะวันตก,https://www.muangkancity.go.th/public/
76,04500601,เทศบาลเมืองเมืองแกนพัฒนา,เทศบาลเมือง,แม่แตง,เชียงใหม่,เหนือ,https://www.muangkaen.go.th/index.php
77,04650122,เทศบาลเมืองอรัญญิก,เทศบาลเมือง,เมืองพิษณุโลก,พิษณุโลก,กลาง,https://www.muangaranyik.go.th/home
78,04320102,เทศบาลเมืองสุรินทร์,เทศบาลเมือง,เมืองสุรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,https://www.mosurin.go.th/home
79,04580102,เทศบาลเมืองแม่ฮ่องสอน,เทศบาลเมือง,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,https://www.mmhs.go.th/
80,04160102,เทศบาลเมืองลพบุรี,เทศบาลเมือง,เมืองลพบุรี,ลพบุรี,กลาง,https://www.lopburicity.go.th/
81,04420102,เทศบาลเมืองเลย,เทศบาลเมือง,เมืองเลย,เลย,ตะวันออกเฉียงเหนือ,https://www.loeicity.go.th/
82,03200701,เทศบาลนครแหลมฉบัง,เทศบาลนคร,ศรีราชา,ชลบุรี,ตะวันออก,https://www.lcb.go.th/event.php
83,04110402,เทศบาลเมืองลัดหลวง,เทศบาลเมือง,พระประแดง,สมุทรปราการ,กลาง,https://www.ladluang.go.th/th
84,04900103,เทศบาลเมืองเขารูปช้าง,เทศบาลเมือง,เมืองสงขลา,สงขลา,ใต้,https://www.krc.go.th/event.php
85,04810102,เทศบาลเมืองกระบี่,เทศบาลเมือง,เมืองกระบี่,กระบี่,ใต้,https://www.krabicity.go.th/event.php
86,04620102,เทศบาลเมืองกำแพงเพชร,เทศบาลเมือง,เมืองกำแพงเพชร,กำแพงเพชร,กลาง,https://www.kppmu.go.th/home
87,04900901,เทศบาลเมืองกำแพงเพชร,เทศบาลเมือง,รัตภูมิ,สงขลา,ใต้,https://www.kppmu.go.th/home
88,03300102,เทศบาลนครนครราชสีมา,เทศบาลนคร,เมืองนครราชสีมา,นครราชสีมา,ตะวันออกเฉียงเหนือ,https://www.koratcity.go.th/
89,04961001,เทศบาลเมืองสุไหงโก-ลก,เทศบาลเมือง,สุไหงโก-ลก,นราธิวาส,ใต้,https://www.kolokcity.go.th/
90,03840401,เทศบาลนครเกาะสมุย,เทศบาลนคร,เกาะสมุย,สุราษฎร์ธานี,ใต้,https://www.kohsamuicity.go.th/event.php
91,03400102,เทศบาลนครขอนแก่น,เทศบาลนคร,เมืองขอนแก่น,ขอนแก่น,ตะวันออกเฉียงเหนือ,https://www.kkmuni.go.th/
92,04901105,เทศบาลเมืองควนลัง,เทศบาลเมือง,หาดใหญ่,สงขลา,ใต้,https://www.khuanlang.go.th/_new/frontpage
93,04901104,เทศบาลเมืองคลองแห,เทศบาลเมือง,หาดใหญ่,สงขลา,ใต้,https://www.khlonghaecity.go.th/citizen_guide?cid=18
94,04160103,เทศบาลเมืองเขาสามยอด,เทศบาลเมือง,เมืองลพบุรี,ลพบุรี,กลาง,https://www.khaosamyod.go.th/event.php
95,04520103,เทศบาลเมืองเขลางค์นคร,เทศบาลเมือง,เมืองลำปาง,ลำปาง,เหนือ,https://www.kelangnakorn.go.th/
96,04920201,เทศบาลเมืองกันตัง,เทศบาลเมือง,กันตัง,ตรัง,ใต้,https://www.kantangcity.go.th/event.php
97,04190201,เทศบาลเมืองแก่งคอย,เทศบาลเมือง,แก่งคอย,สระบุรี,กลาง,https://www.kaengkhoi.go.th/event.php
98,03901101,เทศบาลนครหาดใหญ่,เทศบาลนคร,หาดใหญ่,สงขลา,ใต้,https://www.hatyaicity.go.th/intro_king/
99,04840301,เทศบาลเมืองดอนสัก,เทศบาลเมือง,ดอนสัก,สุราษฎร์ธานี,ใต้,https://www.donsakcity.go.th/intro
100,04340701,เทศบาลเมืองเดชอุดม,เทศบาลเมือง,เดชอุดม,อุบลราชธานี,ตะวันออกเฉียงเหนือ,https://www.detudomcity.go.th/
101,03500102,เทศบาลนครเชียงใหม่,เทศบาลนคร,เมืองเชียงใหม่,เชียงใหม่,เหนือ,https://www.cmcity.go.th/
102,03340102,เทศบาลนครอุบลราชธานี,เทศบาลนคร,เมืองอุบลราชธานี,อุบลราชธานี,ตะวันออกเฉียงเหนือ,https://www.cityub.go.th/2022/
103,04600301,เทศบาลเมืองชุมแสง,เทศบาลเมือง,ชุมแสง,นครสวรรค์,กลาง,https://www.chumsaeng.org/home
104,04860102,เทศบาลเมืองชุมพร,เทศบาลเมือง,เมืองชุมพร,ชุมพร,ใต้,https://www.chumphontown.go.th/
105,04310107,เทศบาลเมืองชุมเห็ด,เทศบาลเมือง,เมืองบุรีรัมย์,บุรีรัมย์,ตะวันออกเฉียงเหนือ,https://www.chumhedtown.go.th/index
106,03570102,เทศบาลนครเชียงราย,เทศบาลนคร,เมืองเชียงราย,เชียงราย,เหนือ,https://www.chiangraicity.go.th/event.php
107,04130302,เทศบาลเมืองบึงยี่โถ,เทศบาลเมือง,ธัญบุรี,ปทุมธานี,กลาง,https://www.buengyitho.go.th/
108,04380104,เทศบาลเมืองบึงกาฬ,เทศบาลเมือง,เมืองบึงกาฬ,บึงกาฬ,ตะวันออกเฉียงเหนือ,https://www.buengkhanml.go.th/home
109,04950201,เทศบาลเมืองเบตง,เทศบาลเมือง,เบตง,ยะลา,ใต้,https://www.betongcity.go.th/event.php
110,04120403,เทศบาลเมืองใหม่บางบัวทอง,เทศบาลเมือง,บางบัวทอง,นนทบุรี,กลาง,https://www.bbt.go.th/home
